klallam	english
pə́q̓	white
šúpt	whistle
x̣páy̓	cedar wood
p̓ə́wiʔ	flounder
p̕ap̕áʔt	trying it
ɬíp̓ct	flip
músmus	cow
xʷáʔəm	hungry
ʔə́mət	sit down
siʔám̓	important person
m̓	yes
ʔiyə́m̓	strong
táŋən	evening
stáŋ	what?
ʔítt	sleep
t̓úk̓ʷ	go home
st̓áčəŋ	tide
t̓x̣ə́ŋ	six
nə́c̓uʔ	one
snə́xʷɬ	canoe
tán	mother
ŋə́n̓	much
x̣ə́n̓ə	all
ʔən̓tán	your mother
cáčc	uncle, aunt
cúcən	mouth
cán	who?
c̕éʔc̕əm̕	bird
nə́c̕uʔ	one
ɬíc̕t	cut it
sáqɬ	outside
sáy̕siʔ	afraid
čə́nəs	tooth
čə́q	big
x̣čít	know it
ɬq̓áčš	five
č̓ə́yəxʷ	enter
sč̓ə́y̓iʔ	stick
x̣č̓ít	scratch
píšpš	cat
tšéʔqʷəŋ	comb
štə́ŋ	walk
yə́nəwəs	heart
cáys	hand
húy	finish
ʔə́y̓	good
húy̓	goodbye
məhúy̓	basket
ƛ̓áqt	long
sƛ̓éʔ	like
ƛ̓úƛ̓aʔ	small
ɬíxʷ	three
súɬ	road, door
ʔíɬən	eat
ləmətú	sheep
saplín	bread
sləhál	bone game
kapú	coat
ləklí	key
lisák	sack
kʷítšən	chinook salmon
skʷáči	day
nə́kʷ	you
k̓ʷát̓ən̓	rat
k̓ʷín	how many?
x̣áyk̓ʷs	raccoon
xʷanítəm	white person
ɬíxʷ	three
tíxʷɬc	tongue
wáʔ	go with
swə́y̓qaʔ	man
sqáwc	potato
x̣ə́w̓əs	new
c̓ə́w̓	disappear
k̓ʷə́w̓i	skin, hide
qəx̣qíŋ	play
sqáx̣aʔ	dog
čə́q	big
q̓áʔŋiʔ	young woman
pə́q̓	white
ʔənəq̓íx̣	black
x̣páy̓	cedar wood
sx̣ə́naʔ	foot
ʔáʔčx̣	crab
ŋús	four
nəŋə́naʔ	my child
nə́čəŋ	laugh
háʔsəŋ̓	sneezing
šéʔtəŋ̓	wishing
sə́ɬəŋ̓	continue
qʷáqʷiʔ	talking
qʷúʔ	water
sčə́saʔqʷ	hat
q̓ʷə́yən̓	ear
sq̓ʷəyáyŋxʷ	blackberry
c̓ə́q̓ʷ	dirt
x̣ʷúŋ	cry
sxʷɬáx̣ʷ	jellyfish
ʔéʔɬx̣ʷaʔ	Elwha
ʔíɬən	eat
q̓áʔŋi	young woman
múʔuqʷ	duck
hiyáʔ	go
məhúy̓	basket
húʔpt	deer
ɬíxʷ	three
ʔítt	sleep
ʔéʔɬx̣ʷaʔ	Elwha
šéʔtəŋ̓	wishing
nə́kʷ	you
čə́saʔ	two
ʔúpən	ten
nə́c̓uʔ	one
tán	mother
ʔáʔyəŋ	house
